"Country","Year","Gender","BMI_Index","Bloodpressure","Cholesterol","Sugar","Food","Income","Life_expectancy","Region","Period"
"Albania","1980","male",25.22533,132.927,5.006371,46.58,2659.95,4218,70.9,"Eastern Europe","1980 - 1989"
"Albania","1980","female",25.17427,132.2048,5.039529,46.58,2659.95,4218,70.9,"Eastern Europe","1980 - 1989"
"Albania","1981","male",25.23981,133.0296,5.001727,46.58,2747.51,4227,71,"Eastern Europe","1980 - 1989"
"Albania","1981","female",25.19088,132.1113,5.03661,46.58,2747.51,4227,71,"Eastern Europe","1980 - 1989"
"Albania","1982","female",25.20032,132.0324,5.033352,46.58,2691.75,4237,71,"Eastern Europe","1980 - 1989"
"Albania","1982","male",25.25636,133.1459,4.995893,46.58,2691.75,4237,71,"Eastern Europe","1980 - 1989"
"Albania","1983","male",25.27176,133.1868,4.988104,46.58,2840.86,4248,71,"Eastern Europe","1980 - 1989"
"Albania","1983","female",25.21906,131.9356,5.028138,46.58,2840.86,4248,71,"Eastern Europe","1980 - 1989"
"Albania","1984","male",25.27901,133.2048,4.98158,46.58,2758.98,4259,71.5,"Eastern Europe","1980 - 1989"
"Albania","1984","female",25.22359,131.8073,5.022292,46.58,2758.98,4259,71.5,"Eastern Europe","1980 - 1989"
"Albania","1985","female",25.21257,131.6686,5.018456,46.58,2607.83,4267,72.2,"Eastern Europe","1980 - 1989"
"Albania","1985","male",25.28669,133.2577,4.977619,46.58,2607.83,4267,72.2,"Eastern Europe","1980 - 1989"
"Albania","1986","male",25.29451,133.2506,4.971681,49.32,2738.9,4281,72.7,"Eastern Europe","1980 - 1989"
"Albania","1986","female",25.20939,131.5425,5.012306,49.32,2738.9,4281,72.7,"Eastern Europe","1980 - 1989"
"Albania","1987","male",25.30217,133.2931,4.968798,49.32,2552.18,4294,73,"Eastern Europe","1980 - 1989"
"Albania","1987","female",25.18918,131.3945,5.008334,49.32,2552.18,4294,73,"Eastern Europe","1980 - 1989"
"Albania","1988","male",25.3045,133.2701,4.964878,49.32,2647.18,4307,73.2,"Eastern Europe","1980 - 1989"
"Albania","1988","female",25.16965,131.2248,5.002822,49.32,2647.18,4307,73.2,"Eastern Europe","1980 - 1989"
"Albania","1989","female",25.1537,131.097,4.998255,49.32,2629.8,4325,73.4,"Eastern Europe","1980 - 1989"
